variable,y,x,label
lag_exp_M1_1_cumulative,1,-10,Lag of ITN Mass GF ($/capita)
lag_exp_M1_2_cumulative,2.25,-10,Lag of ITN Cont. GF ($/capita)
lag_other_dah_M1_1_cumulative,3.5,-10,Lag of ITN Other ($/capita)
lag_exp_M2_1_cumulative,7.25,-10,Lag of Fac. Tx GF ($/capita)
lag_other_dah_M2_cumulative,8.5,-10,Lag of Case Mgmt Other ($/capita)
lag_exp_M2_3_cumulative,4.75,-10,Lag of iCCM GF ($/capita)
lag_other_dah_M2_3_cumulative,6,-10,Lag of iCCM Other ($/capita)
lag_ghe_cumulative,9.75,-10,Lag of GHE ($/capita)
lag_exp_M2_6_cumulative,11,-10,Lag of Sev. Tx GF ($/capita)
lag_exp_M3_1_cumulative,12.25,-10,Lag of IPTp GF ($/capita)
ITN_received_cumulative,2.5,0,ITNs Rec. (#/capita)
RDT_received_cumulative,7,0,RDTs Rec. (#/capita)
ACT_received_cumulative,9,0,ACTs Rec. (#/capita)
ITN_consumed_cumulative,2.5,10,ITNs Dist. (#/capita)
RDT_completed_cumulative,8.5,10,RDTs Used (#/capita)
ACTs_SSC_cumulative,5.375,10,Pat.'s Tx iCCM (#/capita)
totalPatientsTreated_cumulative,7,10,Pat.'s Tx (#/capita)
severeMalariaTreated_cumulative,10,10,Sev. Tx (#/capita)
SP_cumulative,11.5,10,SP in ANC (#/capita)
