"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUT","EXCH","TOT","NATUSD","A","2018",0.847186,
"BEL","EXCH","TOT","NATUSD","A","2018",0.847186,
"CAN","EXCH","TOT","NATUSD","A","2018",1.295755,
"CZE","EXCH","TOT","NATUSD","A","2018",21.729917,
"DNK","EXCH","TOT","NATUSD","A","2018",6.314619,
"FIN","EXCH","TOT","NATUSD","A","2018",0.847186,
"FRA","EXCH","TOT","NATUSD","A","2018",0.847186,
"DEU","EXCH","TOT","NATUSD","A","2018",0.847186,
"GRC","EXCH","TOT","NATUSD","A","2018",0.847186,
"HUN","EXCH","TOT","NATUSD","A","2018",270.211667,
"ISL","EXCH","TOT","NATUSD","A","2018",108.300176,
"IRL","EXCH","TOT","NATUSD","A","2018",0.847186,
"ITA","EXCH","TOT","NATUSD","A","2018",0.847186,
"JPN","EXCH","TOT","NATUSD","A","2018",110.423179,
"KOR","EXCH","TOT","NATUSD","A","2018",1100.5575,
"LUX","EXCH","TOT","NATUSD","A","2018",0.847186,
"MEX","EXCH","TOT","NATUSD","A","2018",19.244342,
"NLD","EXCH","TOT","NATUSD","A","2018",0.847186,
"NZL","EXCH","TOT","NATUSD","A","2018",1.445258,
"NOR","EXCH","TOT","NATUSD","A","2018",8.1325,
"POL","EXCH","TOT","NATUSD","A","2018",3.611717,
"PRT","EXCH","TOT","NATUSD","A","2018",0.847186,
"SVK","EXCH","TOT","NATUSD","A","2018",0.847186,
"ESP","EXCH","TOT","NATUSD","A","2018",0.847186,
"SWE","EXCH","TOT","NATUSD","A","2018",8.692518,
"CHE","EXCH","TOT","NATUSD","A","2018",0.977883,
"TUR","EXCH","TOT","NATUSD","A","2018",4.82837,
"GBR","EXCH","TOT","NATUSD","A","2018",0.749582,
"USA","EXCH","TOT","NATUSD","A","2018",1,
"BRA","EXCH","TOT","NATUSD","A","2018",3.653825,
"CHL","EXCH","TOT","NATUSD","A","2018",641.276813,
"CHN","EXCH","TOT","NATUSD","A","2018",6.615957,
"COL","EXCH","TOT","NATUSD","A","2018",2955.70397,
"EST","EXCH","TOT","NATUSD","A","2018",0.847186,
"IND","EXCH","TOT","NATUSD","A","2018",68.389467,
"IDN","EXCH","TOT","NATUSD","A","2018",14236.938773,
"ISR","EXCH","TOT","NATUSD","A","2018",3.590558,
"RUS","EXCH","TOT","NATUSD","A","2018",62.668133,
"SVN","EXCH","TOT","NATUSD","A","2018",0.847186,
"ZAF","EXCH","TOT","NATUSD","A","2018",13.240911,
"EU28","EXCH","TOT","NATUSD","A","2018",0.847186,
"LVA","EXCH","TOT","NATUSD","A","2018",0.847186,
"LTU","EXCH","TOT","NATUSD","A","2018",0.847186,
"SAU","EXCH","TOT","NATUSD","A","2018",3.75,
"EA19","EXCH","TOT","NATUSD","A","2018",0.847186,
"ARG","EXCH","TOT","NATUSD","A","2018",28.094992,
"CRI","EXCH","TOT","NATUSD","A","2018",576.972501,
"BGR","EXCH","TOT","NATUSD","A","2018",1.657042,
"HRV","EXCH","TOT","NATUSD","A","2018",6.279025,
"CYP","EXCH","TOT","NATUSD","A","2018",0.847186,
"MLT","EXCH","TOT","NATUSD","A","2018",0.847186,
"PER","EXCH","TOT","NATUSD","A","2018",3.286603,
"ROU","EXCH","TOT","NATUSD","A","2018",3.941617,
"MKD","EXCH","TOT","NATUSD","A","2018",52.107108,
