variable,y,x,label,,
lag_gf_tbhiv_cumulative,15.5,-20,GF TB-HIV Exp,,
lag_gf_tbcare_cumulative,12,-20,GF TB Comm Exp,,
lag_gf_detect_cumulative,7,-20,GF Case D&D Exp,,
lag_other_dah_T1_1_cumulative,4.75,-20,Oth Case D&D Exp,,
lag_gf_mdrtb_cumulative,3,-20,GF MDR-TB Exp,,
lag_other_dah_T3_cumulative,1.5,-20,Oth MDR-TB Exp,,
tb_vih_cumulative,15.5,-12,No. TB w/ HIV,,
com_mobsoc_cumulative,13.5,-12,No. social mobil,,
com_vad_touss_cumulative,12,-12,No. home visits,,
com_radio_cumulative,10.5,-12,No. radio bcasts,,
perf_lab,4,-12,Lab prf rate,,
patients_prop_genexpert_cumulative,1.5,-12,No. GeneXpert tests,,
tb_vih_arv_cumulative,15.5,-4,No. TB-HIV on ARV,,
com_enf_ref_cumulative,12,-4,No. child ref,,
com_nom_touss_cumulative,10,-4,No. ppl w/ cough ref,,
tb_cas_id_cumulative,7,-4,No. TB dx in oth ways,,
tot_genexpert_cumulative,4.75,3,No. TB dx by GeneXpert,,         
dx_count_cumulative,1.5,12,No. MDR-TB cases dx,,
tb_tfc_cumulative,7,12,No. Tx First-line,,
lead_gueris_taux,15.5,20,TB Tx Success Rate,,
lead_tpm_chimio_enf_cumulative,12,20,No. child on IPT,,
mdr_success_cumulative,1.5,20,No. MDR-TB Cured,,
