"","loc_name","grant","grant_period","grant_status","file_name","disease","data_source","primary_recipient","secondary_recipient","file_currency","geography_detail","mod_framework_format","file_iteration","function_financial","sheet_financial","start_date_financial","period_financial","qtr_number_financial","language_financial","pudr_semester_financial","function_programmatic","sheet_impact_outcome_1a","language_1a","sheet_impact_outcome_1a_disagg","language_1a_disagg","sheet_coverage_1b","language_1b","sheet_coverage_1b_disagg","language_1b_disagg","start_date_programmatic","end_date_programmatic","pudr_semester_programmatic","update_date","ihme_received_date","received_from","dates_verified","version_type","notes"
"1","gtm","GUA-311-G05-H","2010-2014","not_active","#06 GUA HIV RCC HIVOS PU Jan-Mar 13 LFA review final, 3 Jun 13.xls","hiv","pudr","HIVOS","na","USD","NATIONAL","FALSE","final","unknown",NA,"41275","90","1","eng",NA,"unknown",NA,"esp",NA,"esp",NA,"esp",NA,"esp","41275","41364","NA",2013-06-03,NA,NA,NA,NA,NA
"2","cod","COD-M-MOH","2018-2020","active","_COD-M-MOH_Annexe7_MG S2 2018 09Avril2019 Vf.xlsx","hiv","document","MOH","na","USD","NATIONAL","FALSE","final","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"3","gtm","GTM-T-MSPAS","2019-2022","active","03. Presupuesto detallado.xlsx","tb","budget","MoH","na","USD","NATIONAL","TRUE","initial","detailed","Detailed Budget","43647","90","12","esp",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"4","gtm","GTM-H-INCAP","2018-2020","active","06 FR100-GTM-H_DB_INCAP_05feb2018.xlsx","hiv","budget","INCAP","na","USD","NATIONAL","TRUE","final","detailed","Detailed Budget","43374","90","9","esp",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-02-05,NA,NA,NA,NA,NA
"5","cod","COD-H-CORDAID","2012-2015","not_active","10Jul12_Final  Budget SSF_ ZAR-H-CORDAID.xlsm","hiv","budget","CORDAID","CORDAID","USD","NATIONAL","FALSE","final","old_detailed","Budget détaillé - Année 3.","41091","90","2","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"6","cod","COD-H-CORDAID","2012-2015","not_active","10Jul12_Final  Budget SSF_ ZAR-H-CORDAID.xlsm","hiv","budget","CORDAID","CORDAID","USD","NATIONAL","FALSE","final","old_detailed","Budget détaillé - Année 4","41275","90","4","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"7","cod","COD-H-CORDAID","2012-2015","not_active","10Jul12_Final  Budget SSF_ ZAR-H-CORDAID.xlsm","hiv","budget","CORDAID","CORDAID","USD","NATIONAL","FALSE","final","old_detailed","Budget détaillé - Année 5","41640","90","4","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"8","cod","COD-H-CORDAID","2012-2015","not_active","18 03 2013 CORDAID_Ongoing PUDR S1 _ZAR-H-CORDAID revised V4.xlsm","hiv","pudr","CORDAID","CORDAID","USD","NATIONAL","FALSE","final","unknown",NA,NA,NA,NA,NA,NA,"unknown",NA,"fr",NA,"fr",NA,"fr",NA,"fr","41091","41274","1-A",NA,NA,NA,NA,NA,NA
"9","cod","COD-M-MOH","2018-2020","active","1c. COD-M-MOH_Budget_IL1_08Aug2018_signedoff.xlsx","malaria","budget","MoH","na","USD","NATIONAL","TRUE","final","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-08-08,NA,NA,NA,NA,NA
"10","cod","COD-M-MOH","2018-2020","active","1a.COD-M-MOH_Budget_IL2_30.11.2018.xlsx","malaria","budget","MoH","na","USD","NATIONAL","TRUE","revision","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-11-30,2019-06-12,"TERG (Sylvie)",NA,NA,NA
"11","cod","COD-M-SANRU","2018-2020","active","1c.COD-M-SANRU_Budget_IL1_20.08.2018.xlsx","malaria","budget","SANRU","na","USD","NATIONAL","TRUE","final","detailed","Detailed Budget","43101","90","12","fr","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2018-08-20,NA,NA,NA,NA,NA
"12","cod","COD-M-MOH","2018-2020","active","1b.COD-M-MOH_PF_IL2_05.12.2018.xlsx","malaria","performance_framework","MoH","na","NA","NATIONAL","FALSE","final","NA",NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,2019-06-12,"TERG (Sylvie)",NA,NA,NA
"13","cod","COD-M-SANRU","2018-2020","active","1b.COD-M-SANRU_PF_12July2018_signedoff.xlsx","malaria","performance_framework","SANRU","na","NA","NATIONAL","FALSE","final","NA",NA,NA,NA,NA,NA,NA,"unknown",NA,"fr",NA,"fr","Coverage Indicators - Section D","fr",NA,"fr","43101","43281","NA",2018-07-12,NA,NA,NA,NA,"*the reporting period is not clear, so I assumed it was the first semester based off of the update date in the file name. EL 7/22/2019"
"14","cod","COD-M-SANRU","2018-2020","active","1b.COD-M-SANRU_PF_IL2.05.12.2018.xlsx","malaria","performance_framework","SANRU","na","NA","NATIONAL","FALSE","final","NA",NA,NA,NA,NA,NA,NA,"unknown",NA,"fr",NA,"fr","Coverage Indicators - Section D","fr",NA,"fr","43101","43281","NA",2018-12-05,NA,NA,NA,NA,"*the reporting period is not clear, so I assumed it was the first semester based off of the update date in the file name. EL 7/22/2019"
"15","cod","COD-M-MOH","2018-2020","active","1c. COD-M-MOH_Budget_12.04.18.xlsx","malaria","budget","MoH","na","USD","NATIONAL","TRUE","initial","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-04-12,NA,NA,NA,NA,NA
"16","cod","COD-M-MOH","2018-2020","active","1c. COD-M-MOH_Budget_8 August18_2.xlsx","malaria","budget","MoH","na","USD","NATIONAL","TRUE","initial","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-08-08,NA,NA,NA,NA,"*Even though they have the same update date in the file name, this is the initial draft version of the final budget. EL 7/22/2019"
"17","cod","COD-M-MOH","2018-2020","active","1a.COD-M-MOH_Budget_IL3_08.04.2019.xlsx","malaria","budget","MoH","na","USD","NATIONAL","TRUE","revision","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2019-04-08,2019-06-12,"TERG (Sylvie)",NA,NA,NA
"18","cod","COD-H-MOH","2018-2020","active","1c.COD_H_MOH_budget_27Feb2018.xlsx","hiv","budget","MoH","MoH","USD","NATIONAL","TRUE","final","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"19","cod","COD-M-SANRU","2018-2020","active","1a.COD-M-SANRU_Budget_IL2 05.12.2018.xlsx","malaria","budget","SANRU","na","USD","NATIONAL","TRUE","revision","detailed","Detailed Budget","43101","90","12","fr","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2018-12-05,NA,NA,NA,NA,NA
"20","cod","COD-T-MOH","2018-2020","active","1c.COD-T-MOH_budget_27Feb2018.xlsx","tb","budget","MoH","MoH","USD","NATIONAL","TRUE","final","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-02-27,NA,NA,NA,NA,NA
"21","gtm","GTM-M-MSPAS","2019-2021","active","1c.GUA-M-MSPAS_Budget 2019.xlsx","malaria","budget","MSPAS","na","USD","NATIONAL","TRUE","final","detailed","Detailed Budget","43466","90","12","esp",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2018-12-31,NA,NA,NA,NA,NA
"22","sen","SEN-M-PNLP","2018-2020","active","1c.SEN-M-PNLP_Budget (1).xlsx","malaria","budget","PNLP","na","LOC","NATIONAL","TRUE","final","detailed","DETAIL","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"23","sen","SEN-Z-MOH","2018-2020","active","1c.SEN-Z-MOH_Budget (1).xlsx","tb","budget","MOH","na","LOC","NATIONAL","TRUE","final","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"24","gtm","GTM-T-MSPAS","2016-2019","active","1d_GTM-T-MSPAS Detailed budget_FINAL_01062016 2.xlsx","tb","budget","MoH","na","USD","NATIONAL","FALSE","initial","detailed","Detailed Budget","42552","90","12","esp",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"*It's unclear whether this was a true iteration, or a copy made by IHME. EL 8/6/2019."
"25","gtm","GTM-T-MSPAS","2016-2019","active","1d_GTM-T-MSPAS Detailed budget_FINAL_01062016 3.xlsx","tb","budget","MoH","na","USD","NATIONAL","FALSE","initial","detailed","Detailed Budget","42552","90","12","esp",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"*It's unclear whether this was a true iteration, or a copy made by IHME. EL 8/6/2019."
"26","gtm","GTM-T-MSPAS","2016-2019","active","1d_GTM-T-MSPAS Detailed budget_FINAL_01062016 4.xlsx","tb","budget","MoH","na","USD","NATIONAL","FALSE","initial","detailed","Detailed Budget","42552","90","12","esp",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"*It's unclear whether this was a true iteration, or a copy made by IHME. EL 8/6/2019."
"27","gtm","GTM-T-MSPAS","2016-2019","active","1d_GTM-T-MSPAS Detailed budget_FINAL_01062016.xlsx","tb","budget","MoH","na","USD","NATIONAL","FALSE","final","detailed","Detailed Budget","42552","90","12","esp",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"28","cod","COD-T-CARITAS","2015-2017","not_active","2 COD-T-CARITAS_Detailed_Budget.xlsx","tb","budget","Caritas Congo","na","USD","NATIONAL","TRUE","initial","detailed","DetailedBudget","42005","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"29","cod","NA","NA","NA","2. Budget NFM Equateur revised 20151022.xlsx","malaria","budget","NA","NA","NA","NA","NA","NA","unknown",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"This file has no metadata available. EL 9/9/2019"
"30","sen","SNG-T-PLAN","2014-2017","not_active","2017 Plan TB.xlsx","tb","pudr","Plan International, Inc.","na","EUR","NATIONAL","TRUE","final","pudr","LFA Expenditure_7B","42736","365","1","fr","4-AB","master","Impact Outcome Indicators_1A","fr","Disaggregation_1A","fr","Coverage Indicators_1B","fr","Disaggregation_1B","fr","42917","43100","4-B",NA,NA,NA,"EL 9/11/2019",NA,NA
"31","cod","ZAR-809-G10-H","2010-2012","not_active","22May12_Revised_Budget_Q10 R8_HIV.xls","hiv","budget","UNDP","CAGF","USD","NATIONAL","FALSE","final","module","Budget Détaillé","41000","90","1","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"32","cod","COD-H-SANRU","2015-2017","not_active","AA PUDR SANRU-VIH S1.xlsm","hiv","pudr","SANRU","na","USD","NATIONAL","TRUE","final","pudr","RFA ALF_7B","42186","180","1","eng","1-A","master","Indicateurs Impact Effet_1A","fr","Ventilation_1A","fr","Indicateurs Couverture_1B","fr","Ventilation_1B","fr","42186","42369","1-A",NA,NA,NA,NA,NA,"*The financial reporting period is not clear, but I assumed it was semester 1 based off of the file name. EL 7/23/2019"
"33","gtm","GTM-M-MSPAS","2014-2018","active","GUA-M-MPSAS_PU9_Jan_Jun2015_ALF.xlsx","malaria","pudr","MSPAS","na","USD","NATIONAL","TRUE","final","unknown",NA,"42005","180","1","esp",NA,"unknown",NA,"esp",NA,"esp",NA,"esp",NA,"esp","42005","42185","1-B",NA,NA,NA,NA,NA,NA
