indicator_code,description,name
TB I-1,"TB prevalence rate per 100,000 population",TB prevalence
TB I-2,"TB incidence rate per 100,000 population",TB incidence
TB I-3(M),"TB mortality rate per 100,000 population",TB mortality
TB I-4(M),RR-TB and/or MDR-TB prevalence among new TB patients: Proportion of new TB cases with RR-TB and/or MDR-TB,RR-TB and/or MDR-TB prevalence among new TB patients
TB/HIV I-1,"TB/HIV mortality rate per 100,000 population",TB/HIV mortality
TB O-1a,"Case notification rate of all forms of TB per 100,000 population – bacteriologically confirmed plus clinically diagnosed, new and relapse cases",Case notification rate
TB O-2a,"Treatment success rate of all forms of TB – bacteriologically confirmed plus clinically diagnosed, new and relapse cases",Treatment success rate
TB O-6,"Notification of RR-TB and/or MDR-TB cases – Percentage of notified cases of bacteriologically confirmed, drug resistant RR-TB and/or MDR-TB as a proportion of all estimated Rifampicin-resistant TB and/or MDR-TB cases",Notification of MDR-TB
TB O-4(M),Treatment success rate of RR TB and/or MDR-TB: Percentage of cases with RR and/or MDR-TB successfully treated,Treatment success rate of MDR-TB
TB O-5(M),TB treatment coverage: Percentage of new and relapse cases that were notified and treated among the estimated number of incident TB cases in the same year (all forms of TB – bacteriologically confirmed plus clinically diagnosed),TB treatment coverage
TCP-1(M),Number of notified cases of all forms of TB (i.e. bacteriologically confirmed + clinically diagnosed) Includes new and relapse cases,No. of notified cases (all forms)
TCP-2(M),"Treatment success rate – all forms: Percentage of TB cases, all forms (bacteriologically confirmed plus clinically diagnosed) successfully treated (cured plus treatment completed) among all TB cases registered for treatment during a specified period, new and relapse cases.",Treatment success rate – all forms
TCP-3,Percentage of laboratories showing adequate performance in external quality assurance for smear microscopy among the total number of laboratories that undertake smear microscopy during the reporting period,% of laboratories showing adequate performance
TCP-4,Percentage of reporting units reporting no stock-outs of anti-TB drugs on the last day of the quarter,% of reporting units reporting no stock-outs of anti-TB drugs
TCP-5,Number of children under 5 in contact with TB patients who began isoniazid preventive therapy,No. children <5 in contact with TB patients who began isoniazid preventive therapy
TCP-6a,Number of TB cases (all forms) notified among prisoners,No. TB cases (all forms) notified among prisoners
TCP-6b,Number of TB cases (all forms) notified among key populations/high-risk groups (other than prisoners),No. TB cases (all forms) notified among key populations/high-risk groups (other than prisoners)
TCP-7a,Number of notified TB cases (all forms) contributed by non-national TB program providers – private/non-governmental facilities,No. notified TB cases contributed by non-national TB program providers – private/non-governmental facilities
TCP-7b,Number of notified TB cases (all forms) contributed by non-national TB program providers – public sector,No. notified TB cases contributed by non-national TB program providers – public sector
TCP-7c,Number of notified TB cases (all forms) contributed by non-national TB program providers – community referrals,No. notified TB cases contributed by non-national TB program providers – community referrals
TCP-8,Percentage of new and relapse TB patients tested using WHO- recommended rapid tests at the time of diagnosis,% new and relapse TB patients tested using WHO- recommended rapid tests at the time of diagnosis
MDR TB-2(M),Number of TB cases with Rifampicin-resistant TB (RR-TB) and/or MDR-TB notified,No. RR-TB and/or MDR-TB notified
MDR TB-3(M),Number of cases with RR-TB and/or MDR-TB that began second-line treatment,No. RR-TB and/or MDR-TB cases that began second-line treatment
MDR TB-4,Percentage of cases with RR-TB and/or MDR-TB started on treatment for MDR-TB who were lost to follow-up during the first six months of treatment,% of cases with RR-TB and/or MDR-TB started on treatment for MDR-TB who were lost to follow-up during the first six months of treatment
MDR TB-5,Percentage of drug susceptibility testing laboratories showing adequate performance on external quality assurance,% of drug susceptibility testing laboratories showing adequate performance on external quality assurance
MDR TB-6,Percentage of TB patients with DST result for at least Rifampicin among the total number of notified (new and retreatment) cases in the same year,% of TB patients with DST result for at least Rifampicin among the total No. notified (new and retreatment) cases in the same year
MDR TB-7,Percentage of confirmed MDR-TB cases tested for susceptibility to any fluoroquinolone and any second-line injectable drug,% of confirmed MDR-TB cases tested for susceptibility to any fluoroquinolone and any second-line injectable drug
MDR TB-8,Number of cases of XDR-TB enrolled on treatment,No. cases of XDR-TB enrolled on treatment
TB/HIV-5,Percentage of registered new and relapse TB patients with documented HIV status,% of registered new and relapse TB patients with documented HIV status
TB/HIV-6(M),Percentage of HIV-positive new and relapse TB patients on antiretroviral therapy during TB treatment,% HIV-positive new and relapse TB patients on antiretroviral therapy during TB treatment
TB/HIV-3.1,Percentage of people living with HIV in care (including PMTCT) who are screened for TB in HIV care or treatment settings,% people living with HIV in care (including PMTCT) who are screened for TB in HIV care or treatment settings
TB/HIV-4.1,Percentage of people living with HIV newly enrolled in HIV care started on TB preventive therapy,% people living with HIV newly enrolled in HIV care started on TB preventive therapy
M&E-1,Percentage of HMIS or other routine reporting units submitting timely reports according to national guidelines,% HMIS or other routine reporting units submitting timely reports according to national guidelines
HIV I-13,Number and percentage of people living with HIV,Number and % people living with HIV
HIV I-14,"Number of new HIV infections per 1,000 uninfected population","No. new HIV infections per 1,000 uninfected population"
HIV I-4,"Number of AIDS-related deaths per 100,000 population","No. AIDS-related deaths per 100,000 population"
HIV I-6,Estimated percentage of child HIV infections from HIV-positive women delivering in the past 12 months,Estimated % child HIV infections from HIV-positive women delivering in the past 12 months
HIV I-9a(M),Percentage of men who have sex with men who are living with HIV,% men who have sex with men who are living with HIV
HIV I-9b(M),Percentage of transgender people who are living with HIV,% transgender people who are living with HIV
HIV I-10(M),Percentage of sex workers who are living with HIV,% sex workers who are living with HIV
HIV I-11(M),Percentage of people who inject drugs who are living with HIV,% people who inject drugs who are living with HIV
HIV I-12,Percentage of other vulnerable populations (specify) who are living with HIV,% other vulnerable populations (specify) who are living with HIV
TB/HIV I-1,"TB/HIV mortality rate per 100,000 population","TB/HIV mortality rate per 100,000 population"
HIV O-1(M),Percentage of adults and children with HIV known to be on treatment 12 months after initiation of antiretroviral therapy,% adults and children with HIV known to be on treatment 12 months after initiation of antiretroviral therapy
HIV O-10,Percentage of women and men with non-regular partner in the past 12 months who report the use of a condom during their last intercourse,% women and men with non-regular partner in the past 12 months who report the use of a condom during their last intercourse
HIV O-4a(M),Percentage of men reporting the use of a condom the last time they had anal sex with a male partner,% men reporting the use of a condom the last time they had anal sex with a male partner
HIV O-4.1b(M),Percentage of transgender people reporting the use of a condom the last time they had sex with a partner,% transgender people reporting the use of a condom the last time they had sex with a partner
HIV O-5(M),Percentage of sex workers reporting the use of a condom with their most recent client,% sex workers reporting the use of a condom with their most recent client
HIV O-6(M),Percentage of people who inject drugs reporting the use of sterile injecting equipment the last time they injected,% people who inject drugs reporting the use of sterile injecting equipment the last time they injected
HIV O-9,Percentage of people who inject drugs reporting condom use at the last sexual intercourse,% people who inject drugs reporting condom use at the last sexual intercourse
HIV O-7,Percentage of other vulnerable populations who report the use of a condom at last sexual intercourse,% other vulnerable populations who report the use of a condom at last sexual intercourse
HIV O-11,Percentage of (estimated) people living with HIV who have been tested HIV-positive,% (estimated) people living with HIV who have been tested HIV-positive
HIV O-12,Percentage of people living with HIV and on antiretroviral therapy who are virologically suppressed (among all those currently on treatment who received a viral load measurement regardless of when they started antiretroviral therapy),% people living with HIV and on antiretroviral therapy who are virologically suppressed
HIV O-13,Proportion of ever-married or partnered women aged 15-49 who experienced physical or sexual violence from a male intimate partner in the past 12 months,Prop. ever-married or partnered women aged 15-49 who experienced physical or sexual violence from a male intimate partner in the past 12 months
HIV O-14,Percentage of women and men aged 15–49 who report discriminatory attitudes towards people living with HIV,% women and men aged 15–49 who report discriminatory attitudes towards people living with HIV
HIV O-15,Percentage of people living with HIV who experienced recent discrimination at health care facilities,% people living with HIV who experienced recent discrimination at health care facilities
GP-5,Number of medical male circumcisions performed according to national standards,No. medical male circumcisions performed according to national standards
GP-6,Percentage of orphaned and other vulnerable children aged 0–17 years whose households received free basic external support in caring for the child according to national guidelines,% orphaned and other vulnerable children aged 0–17 years whose households received free basic external support in caring for the child according to national guidelines
KP-1a(M),Percentage of men who have sex with men reached with HIV prevention programs- defined package of services,% men who have sex with men reached with HIV prevention programs- defined package of services
KP-1b(M),Percentage of transgender people reached with HIV prevention programs- defined package of services,% transgender people reached with HIV prevention programs- defined package of services
KP-1c(M),Percentage of sex workers reached with HIV prevention programs- defined package of services,% sex workers reached with HIV prevention programs- defined package of services
