indicator_code,full_description,brief_description_code,brief_description
TB I-1,"TB prevalence rate per 100,000 population",TB prev - TB I-1,TB prev
TB I-2,"TB incidence rate per 100,000 population",TB inc. - TB I-2,TB inc.
TB I-3(M),"TB mortality rate per 100,000 population",TB mortality - TB I-3(M),TB mortality  
TB I-4(M),RR-TB and/or MDR-TB prevalence among new TB patients: Proportion of new TB cases with RR-TB and/or MDR-TB,"MDR-TB prev, new TB Pts. - TB I-4(M)","MDRTB prev, new TB Pts.  "
TB/HIV I-1,"TB/HIV mortality rate per 100,000 population",TB/HIV mortality - TB/HIV I-1,TB/HIV mortality
TB O-1a,"Case notification rate of all forms of TB per 100,000 population – bacteriologically confirmed plus clinically diagnosed, new and relapse cases",Case notification rate - TB O-1a,Case notification rate 
TB O-2a,"Treatment success rate of all forms of TB – bacteriologically confirmed plus clinically diagnosed, new and relapse cases",tx. success rate - TB O-2a,tx. success rate 
TB O-6,"Notification of RR-TB and/or MDR-TB cases – Percentage of notified cases of bacteriologically confirmed, drug resistant RR-TB and/or MDR-TB as a proportion of all estimated Rifampicin-resistant TB and/or MDR-TB cases",% of all MDR-TB notified - TB O-6,% of all MDRTB notified
TB O-4(M),Treatment success rate of RR TB and/or MDR-TB: Percentage of cases with RR and/or MDR-TB successfully treated,tx. success rate MDR-TB - TB O-4(M),tx. success rate MDR-TB 
TB O-5(M),TB treatment coverage: Percentage of new and relapse cases that were notified and treated among the estimated number of incident TB cases in the same year (all forms of TB – bacteriologically confirmed plus clinically diagnosed),TB tx. coverage - TB O-5(M),TB tx. coverage 
TCP-1(M),Number of notified cases of all forms of TB (i.e. bacteriologically confirmed + clinically diagnosed) Includes new and relapse cases,No. noti. cas.  (all forms) - TCP-1(M),No. noti. cas.  (all forms)
TCP-2(M),"Treatment success rate – all forms: Percentage of TB cases, all forms (bacteriologically confirmed plus clinically diagnosed) successfully treated (cured plus treatment completed) among all TB cases registered for treatment during a specified period, new and relapse cases.",tx. success rate – all forms - TCP-2(M),tx. success rate – all forms
