indicator_code,reverse_indicator_final
TB I-1,yes
TB I-2,yes
TB I-3(M),yes
TB I-4(M),yes
TB/HIV I-1,yes
TB O-1a,no
TB O-2a,no
TB O-6,no
TB O-4(M),no
TB O-5(M),no
TCP-1(M),no
TCP-2(M),no
TCP-3,no
TCP-4,no
TCP-5,no
TCP-6a,no
TCP-6b,no
TCP-7a,no
TCP-7b,no
TCP-7c,no
TCP-8,no
MDR TB-2(M),no
MDR TB-3(M),no
MDR TB-4,yes
MDR TB-5,no
MDR TB-6,no
MDR TB-7,no
MDR TB-8,no
TB/HIV-5,no
TB/HIV-6(M),no
TB/HIV-3.1,no
TB/HIV-4,no
TB/HIV-4.1,no
M&E-1,no
HIV I-13,yes
HIV I-14,yes
HIV I-4,yes
HIV I-6,yes
HIV I-9a(M),yes
HIV I-9b(M),yes
HIV I-10(M),yes
HIV I-11(M),yes
HIV I-12,yes
HIV O-1(M),no
HIV O-10,no
HIV O-4a(M),no
HIV O-4.1b(M),no
HIV O-5(M),no
HIV O-6(M),no
HIV O-9,no
HIV O-7,no
HIV O-11,no
HIV O-12,no
HIV O-13,yes
HIV O-14,yes
HIV O-15,yes
GP-5,no
GP-6,no
KP-1a(M),no
KP-1b(M),no
KP-1c(M),no
KP-1d(M),no
KP-1e,no
KP-3a(M),no
KP-3b(M),no
KP-3c(M),no
KP-3d(M),no
KP-3e,no
KP-4,no
KP-5,no
KP-6a,no
KP-6b,no
KP-6c,no
YP-1,no
YP-2,no
YP-3,no
YP-4,no
PMTCT-1,no
PMTCT-2.1,no
PMTCT-3.1,no
HTS-1,no
TCS-7,no
TCS-1(M),no
TCS-other 1,no
TCS-2,no
TCS-3.1,no
TCS-6,yes
TB/HIV-6,no
HTS-2-PCE,no
TCS-8-PCE,no
TCS-9-PCE,no
TCS-10-PCE,no
GP-7-PCE,no
GP-8-PCE,no
KP-7-PCE,no
KP-8-PCE,no
GP-9-PCE,no
GP-10-PCE,no
PMTCT-4-PCE,no
TCS-11-PCE,no
GP-11-PCE,no
GP-12-PCE,yes
GP-13-PCE,no
GP-14-PCE,yes
GP-15-PCE,no
HIV I-15-PCE,yes
HIV I-16-PCE,yes
PMTCT-5-PCE,no
HTS-3-PCE,no
TB/HIV-4.2-PCE,no
Malaria I-1(M),yes
Malaria I-2.1,yes
Malaria I-3.1(M),yes
Malaria I-4,yes
Malaria I-5,yes
Malaria I-6,yes
Malaria I-9(M),yes
Malaria I-10(M),yes
Malaria O-1a,no
Malaria O-1b,no
Malaria O-1c,no
Malaria O-2,no
Malaria O-3,no
Malaria O-4,no
Malaria O-6,no
Malaria O-7(M),no
Malaria O-8,no
Malaria O-9(M),no
VC-1(M),no
VC-3(M),no
VC-5,no
VC-6.1,no
CM-1a(M),no
CM-1b(M),no
CM-1c(M),no
CM-2a(M),no
CM-2b(M),no
CM-2c(M),no
CM-3a,no
CM-3b,no
CM-3c,no
CM-4,no
CM-5(M),no
CM-6(M),no
SPI-1,no
SPI-2,no
M&E-2,no
ME-2,no
HSS I-1,yes
HSS I-2,yes
HSS I-3,yes
HSS O-1,no
HSS O-2,no
HSS O-3,yes
PSM-2,no
PSM-3,no
M&E-3,no
HW-1,no
HW-2,no
HW-3,no
HW-4,no
HW-5,no
SD-1,no
SD-3,
HF-1,no
SSRP-other 1,no
SSRP-other 2,no
RDT SO,no
GP other-1,yes
GP other-2,no
TCP other-2,no
TCP other-1,no
TCS- other 1,no
TCS other-2,no
TCS other-3,yes
TB O-5 (M),no
TCS other- 1,no
DOTS-6,no
DOTS-1b,no
TB/HIV-2,no
 TB O-2b  ,no
TB O-1b,no
MDR TB-1,no
TB/HIV-1,no
DOTS-2b,no
GP other-2 Nombre de SVS ayant recu le kit PEP dans les 72h ,no
Nombre et pourcentage de structures de santé (Centres de Santé intégrés) qui rapporte une rupture de stock des tests de diagnostic rapide (TDR) malaria ,no
HIV O-other 1 ,no
Number and percentage of health facilities (Integrated health facilities) reporting stock out of malaria rapid diagnostic test (RDT) ,no
HIV O-other 1,no
GP other-2 Nombre de SVS ayant recu le kit PEP dans les 72h,no
 GP other-2 Nombre de SVS ayant recu le kit PEP dans les 72h,no
HIV I-3b,yes
HIV I-3c,yes
KP Other -2,no
KP Other-1,no
KP-Other 1,no
KP-Other 2,no
KP-other1,no
KP-other2,no
TCS-Other (1),no
