indicator_code,isFocusTopic,topicAreaDesc,topicAreaLoc
KP-3a(M),TRUE,Diff_testing,cod
KP-3d(M),TRUE,Diff_testing,cod
KP-3c(M),TRUE,Diff_testing,cod
HTS-1,TRUE,Diff_testing,cod
TCS other- 1,TRUE,Diff_testing,cod
TCS-other 1,TRUE,Diff_testing,cod
M&E-2,TRUE,Digital_health,cod
M&E-1,TRUE,DHIS2,sen
TCP-1(M),TRUE,Diag_capacity,sen
TCP-3,TRUE,Diag_capacity,sen
TCP-6a,TRUE,Diag_capacity,sen
TCP-7c,TRUE,Diag_capacity,sen
KP-3a(M),TRUE,Diag_capacity,sen
KP-3c(M),TRUE,Diag_capacity,sen
KP-3d(M),TRUE,Diag_capacity,sen
KP-3e,TRUE,Diag_capacity,sen
PMTCT-1,TRUE,Diag_capacity,sen
PMTCT-3.1,TRUE,Diag_capacity,sen
CM-1a(M),TRUE,Diag_capacity,sen
CM-1b(M),TRUE,Diag_capacity,sen
MDR TB-2(M),TRUE,Diag_capacity,sen
YP-2,TRUE,AGYW,uga
YP-3,TRUE,AGYW,uga
