"","cost_category","loc_id","budget","disbursement","source","start_date","period","expenditure","disease","data_source","code","coeff","end_date"
"1","All","COBAN",150017,0,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"2","All","MIXCO",46900,46900,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"3","All","AMATITLAN",52715,52715,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"4","All","GUASTATOYA",13024,13024,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"5","All","CHIMALTENANGO",898996,898995,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"6","All","ESCUINTLA",1344788.08,1339690,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"7","All","CUILAPA",1202187,1202190,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"8","All","SOLOLA",31131,0,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"9","All","QUETZALTENANGO",140994.08,140993,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"10","All","MAZATENANGO",687257.08,508399,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"11","All","RETALHULEU",1188800.08,1188800,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"12","All","SAN MARCOS",955442.67,920925,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"13","All","HUEHUETENANGO",584008,582758,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"14","All","SANTA CRUZ DEL QUICHE",903163,902662,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"15","All","NEBAJ",59000,59000,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"16","All","IXCAN",407639.08,403581,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"17","All","SALAMA",843188.08,832091,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"18","All","COBAN",534832.08,534501,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"19","All","FLORES",446623.08,428458,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"20","All","SAYAXCHE",564585.08,562753,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"21","All","POPTUN",163371.08,163319,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"22","All","PUERTO BARRIOS",863656.08,845202,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"23","All","ZACAPA",1272832.37,1127900,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"24","All","CHIQUIMULA",154967.08,138180,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"25","All","JALAPA",1006294,726868,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"26","All","JUTIAPA",472141,472141,"gf",2012-01-01,365,NA,"malaria","SICOIN","NODATA",1,2012-12-30
"27","All","MIXCO",0,0,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"28","All","MULTIMUNICIPAL",932055.28,932055,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"29","All","CHIMALTENANGO",600120,587586,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"30","All","ESCUINTLA",867104,805497,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"31","All","CUILAPA",761000,760218,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"32","All","QUETZALTENANGO",20000,15600,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"33","All","MAZATENANGO",1155126,900081,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"34","All","RETALHULEU",1175160,1120126,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"35","All","SAN MARCOS",1043680,708610,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"36","All","HUEHUETENANGO",1008617,761765,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
